index,coordx,coordz
209,13400.0,10.0
210,13425.0,10.0
211,13450.0,10.0
212,13475.0,10.0
213,13500.0,10.0
214,13525.0,10.0
215,13550.0,10.0
216,13575.0,10.0
217,13600.0,10.0
218,13625.0,10.0
219,13650.0,10.0
220,13675.0,10.0
221,13700.0,10.0
222,13725.0,10.0
223,13750.0,10.0
224,13775.0,10.0
225,13800.0,10.0
226,13825.0,10.0
227,13850.0,10.0
228,13875.0,10.0
229,13900.0,10.0
230,13925.0,10.0
231,13950.0,10.0
232,13975.0,10.0
233,14000.0,10.0
234,14025.0,10.0
235,14050.0,10.0
236,14075.0,10.0
237,14100.0,10.0
238,14125.0,10.0
239,14150.0,10.0
240,14175.0,10.0
241,14200.0,10.0
242,14225.0,10.0
243,14250.0,10.0
244,14275.0,10.0
245,14300.0,10.0
246,14325.0,10.0
247,14350.0,10.0
248,14375.0,10.0
249,14400.0,10.0
250,14425.0,10.0
251,14450.0,10.0
252,14475.0,10.0
253,14500.0,10.0
254,14525.0,10.0
255,14550.0,10.0
256,14575.0,10.0
257,14600.0,10.0
258,14625.0,10.0
259,14650.0,10.0
260,14675.0,10.0
261,14700.0,10.0
262,14725.0,10.0
263,14750.0,10.0
264,14775.0,10.0
265,14800.0,10.0
266,14825.0,10.0
267,14850.0,10.0
268,14875.0,10.0
269,14900.0,10.0
270,14925.0,10.0
271,14950.0,10.0
272,14975.0,10.0
273,15000.0,10.0
274,15025.0,10.0
275,15050.0,10.0
276,15075.0,10.0
277,15100.0,10.0
278,15125.0,10.0
279,15150.0,10.0
280,15175.0,10.0
281,15200.0,10.0
282,15225.0,10.0
283,15250.0,10.0
284,15275.0,10.0
285,15300.0,10.0
286,15325.0,10.0
287,15350.0,10.0
288,15375.0,10.0
289,15400.0,10.0
290,15425.0,10.0
291,15450.0,10.0
292,15475.0,10.0
293,15500.0,10.0
294,15525.0,10.0
295,15550.0,10.0
296,15575.0,10.0
297,15600.0,10.0
298,15625.0,10.0
299,15650.0,10.0
300,15675.0,10.0
301,15700.0,10.0
302,15725.0,10.0
303,15750.0,10.0
304,15775.0,10.0
305,15800.0,10.0
306,15825.0,10.0
307,15850.0,10.0
308,15875.0,10.0
309,15900.0,10.0
310,15925.0,10.0
311,15950.0,10.0
312,15975.0,10.0
313,16000.0,10.0
314,16025.0,10.0
315,16050.0,10.0
316,16075.0,10.0
317,16100.0,10.0
318,16125.0,10.0
319,16150.0,10.0
320,16175.0,10.0
321,16200.0,10.0
322,16225.0,10.0
323,16250.0,10.0
324,16275.0,10.0
325,16300.0,10.0
326,16325.0,10.0
327,16350.0,10.0
328,16375.0,10.0
329,16400.0,10.0
330,16425.0,10.0
331,16450.0,10.0
332,16475.0,10.0
333,16500.0,10.0
334,16525.0,10.0
335,16550.0,10.0
336,16575.0,10.0
337,16600.0,10.0
338,16625.0,10.0
339,16650.0,10.0
340,16675.0,10.0
341,16700.0,10.0
342,16725.0,10.0
343,16750.0,10.0
344,16775.0,10.0
345,16800.0,10.0
346,16825.0,10.0
347,16850.0,10.0
348,16875.0,10.0
349,16900.0,10.0
350,16925.0,10.0
351,16950.0,10.0
352,16975.0,10.0
353,17000.0,10.0
354,17025.0,10.0
355,17050.0,10.0
356,17075.0,10.0
357,17100.0,10.0
358,17125.0,10.0
359,17150.0,10.0
360,17175.0,10.0
361,17200.0,10.0
362,17225.0,10.0
363,17250.0,10.0
364,17275.0,10.0
365,17300.0,10.0
366,17325.0,10.0
